request_id,expected safe amount,actual safe amount,expected status,actual status,expected method,actual method,expected payment plan,actual payment plan,expected earliest date,actual earliest date,expected spending changes,actual spending changes,starting balance,minimum balance,canonical future-event count,projected income count,projected recurring-expense count,minimum simulated balance,date of minimum,first major divergence between expected behavior and current trajectory
request_02,17229139.2,17953975.41,affordable_with_plan,affordable_with_plan,installments,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-15,2025-09-15,none,none,60383889.2,29158400.0,43,3,39,47112375.41,2025-08-13,none
request_03,873000,980907.82,affordable_later,affordable_later,wait,wait,2019-11-15:5491000,2019-11-15:5491000,2019-11-15,2019-11-15,none,none,5810300.0,2668700.0,36,3,32,3649607.82,2019-09-14,none
request_04,8401800,10724951.13,affordable_later,affordable_later,wait,wait,2024-06-15:12693000,2024-06-15:12693000,2024-06-15,2024-06-15,none,none,52206950.0,30686600.0,55,3,51,41411551.13,2024-06-13,none
request_05,737,0.0,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,46475.1,13100.0,41,0,41,8351.86,2026-02-04,2026-02-02: expected safe payment breaches minimum in current trajectory
request_06,603.3,521.63,affordable_with_plan,not_affordable,full_payment,not_recommended,2026-01-03:620.40,none,2026-01-15,2026-01-15,stop:event_476,none,1942.4,800.0,66,3,63,1321.63,2026-01-13,2026-01-11: expected safe payment breaches minimum in current trajectory
request_07,87170.56,86703.56,affordable_with_plan,affordable_with_plan,installments,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-23,2024-10-23,none,none,218945.56,93000.0,29,3,26,179703.56,2024-09-20,2024-09-20: expected safe payment breaches minimum in current trajectory
request_08,284.57,0.0,affordable_later,not_affordable,wait,not_recommended,2025-04-15:996.60,none,2025-04-15,,none,none,1536.57,800.0,55,3,52,359.71,2025-05-08,2025-04-07: expected safe payment breaches minimum in current trajectory
request_09,166.61,26.17,affordable_now,not_affordable,full_payment,not_recommended,2026-07-04:166.61,none,2026-07-04,,none,none,2231.1,600.0,32,0,32,626.17,2026-10-02,2026-10-02: expected safe payment breaches minimum in current trajectory
request_10,12700,0.0,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,750155.0,225400.0,50,0,50,191532.15,2025-03-06,2025-03-03: expected safe payment breaches minimum in current trajectory
request_11,12510645,12373047.91,affordable_with_plan,affordable_later,full_payment,wait,2025-05-03:13110000,2025-05-15:13110000,2025-07-15,2025-05-15,reduce_to:event_989:665950,none,63531795.0,34140600.0,43,3,40,46513647.91,2025-05-14,2025-05-14: expected safe payment breaches minimum in current trajectory
request_12,65164,62814.46,affordable_with_plan,affordable_with_plan,installments,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,,none,reduce_to:event_1054:1072.50|stop:event_1016,193089.89,43200.0,32,0,32,106014.46,2026-07-01,2026-07-01: expected safe payment breaches minimum in current trajectory
request_13,433.4,577.51,affordable_later,not_affordable,wait,not_recommended,2024-05-15:941.60,none,2024-05-15,,none,none,2789.52,1300.0,52,3,49,1877.51,2024-05-14,2024-05-15: expected full-payment date not safe in current trajectory
request_14,597.74,607.3,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,3931.74,2200.0,42,3,39,2807.3,2025-08-14,none
request_15,83.05,12.25,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,1770.05,1200.0,54,3,51,1212.25,2026-01-14,2026-01-13: expected safe payment breaches minimum in current trajectory
request_17,243849.58,241663.69,affordable_with_plan,affordable_with_plan,installments,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,2026-04-15,none,none,550379.58,166100.0,53,3,50,407763.69,2026-03-14,2026-03-14: expected safe payment breaches minimum in current trajectory
request_18,462,558.87,affordable_later,affordable_later,wait,wait,2026-09-15:3246.10,2026-09-15:3246.10,2026-09-15,2026-09-15,none,none,2486.0,1400.0,39,3,36,1958.87,2026-07-14,none
request_19,28820,25896.68,affordable_with_plan,affordable_with_plan,partial_payment,partial_payment,2024-09-04:28820|2024-09-15:10840,2024-09-04:25896.68|2024-09-15:13763.32,2024-09-15,2024-09-15,none,none,199545.0,92800.0,43,3,40,118696.68,2024-09-14,2024-09-14: expected safe payment breaches minimum in current trajectory
request_20,5400,8266.31,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,102609.05,64500.0,47,3,42,72766.31,2026-02-13,none
request_21,1543.35,1574.4,affordable_with_plan,affordable_now,full_payment,full_payment,2026-04-03:1574.40,2026-04-03:1574.40,2026-04-15,2026-04-03,stop:event_1815|reduce_to:event_1816:23.50,none,3911.35,1800.0,36,3,32,3472.14,2026-04-12,2026-04-15: expected full-payment date not safe in current trajectory
request_22,475.46,464.05,affordable_with_plan,affordable_with_plan,installments,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2025-01-15,2025-01-15,none,none,1132.46,500.0,54,3,50,964.05,2024-12-14,2024-12-13: expected safe payment breaches minimum in current trajectory
request_23,9152,8532.21,affordable_later,affordable_later,wait,wait,2025-07-15:38016,2025-07-15:38016,2025-07-15,2025-07-15,none,none,51957.9,27000.0,44,3,40,35532.21,2025-05-14,2025-05-14: expected safe payment breaches minimum in current trajectory
request_24,13420,13555.64,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,85045.0,51000.0,65,3,61,64555.64,2026-01-13,none
request_25,1425000,221174.45,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,32063050.0,23379100.0,64,3,61,23600274.45,2024-03-14,2024-03-13: expected safe payment breaches minimum in current trajectory
