request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670.00 today. This leaves at least ZAR 20,500.00 available over the next 90 days."
request_28,292.32,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Pay EUR 1,302.40 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1,100.00 minimum."
request_29,2638.18,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-23. None of the available options keeps the ZAR 28,300.00 minimum protected."
request_30,298.81,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-06. None of the available options keeps the USD 900.00 minimum protected.
request_31,2617955.68,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,13514.63,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the ZAR 35,700.00 minimum protected."
request_33,24636.39,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 102,100 minimum protected."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,23304.73,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,578.44,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954.00 in full on 2026-09-15. Paying earlier would take the balance below the USD 2,400.00 minimum."
request_37,4391865.76,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,178.48,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 in full on 2025-10-15. Paying earlier would take the balance below the EUR 400.00 minimum.
request_39,56346.86,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 2026-06-15. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,356.76,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Pay EUR 1,290.30 in full on 2024-08-15. Paying earlier would take the balance below the EUR 1,500.00 minimum."
request_41,8343157.23,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 2026-01-15. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,8424517.21,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,30379.09,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-15. None of the available options keeps the INR 82,900 minimum protected."
request_45,3483477.15,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,35174.67,affordable_with_plan,partial_payment,2024-12-03:35174.67|2024-12-15:14275.33,2024-12-15,none,"Pay INR 35,174.67 today and the remaining INR 14,275.33 on 2024-12-15. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,983904.76,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-06-19. None of the available options keeps the IDR 30,049,000 minimum protected."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,12220380.59,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,reduce_to:event_4636:696350,"Use 3 installments of IDR 11,902,106.67, starting 2024-03-18. This leaves at least IDR 20,275,700 available."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,19048.77,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 2024-06-15. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,464.64,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2,100.00 available."
request_54,1782.66,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37,000.00 minimum protected."
request_55,115439.31,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,reduce_to:event_5167:2750,"Use 3 installments of INR 75,781.33, starting 2026-06-11. This leaves at least INR 124,300 available."
request_56,635.22,affordable_with_plan,partial_payment,2025-02-03:635.22|2025-02-15:246.34,2025-02-15,none,"Pay USD 635.22 today and the remaining USD 246.34 on 2025-02-15. This completes the full request and keeps the USD 2,100.00 minimum protected."
request_57,12595.78,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446.00 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 42,700.00 minimum."
